PMID,Title,Abstract,Journal,Year
38796021,Associations between prenatal metal and metalloid mixtures in teeth and reductions in childhood lung function.,Metal(oid)s have been cross-sectionally associated with lung function outcomes in childhood but there is limited data on their combined effects starting in utero. Child sex may further modify these effects.,The Science of the total environment,2024
38789711,Prenatal arsenic metabolite exposure is associated with increased newborn mitochondrial DNA copy number: evidence from a birth cohort study.,"While mitochondria are susceptible to environmental detriments, little is known about potential associations between arsenic metabolites and mitochondria DNA copy number (mtDNAcn). We attempted to examine whether maternal urinary arsenic metabolite levels in different trimesters were related to neonatal cord blood mtDNAcn. We included 819 mother-newborn pairs embedded in an in-progress birth cohort survey performed from April 2014 to October 2016 in Wuhan, China. We determined maternal urinary arsenic species concentrations in different trimesters. We determined cord blood mtDNAcn using quantitative real-time polymerase chain reaction. In covariate-adjusted models, each one-unit increment of dimethylated arsenic (DMA) and total arsenic (TAs) in the third trimester was related to 8.43% (95% CI 1.13%, 16.26%) and 12.15% (95% CI 4.35%, 20.53%) increases in mtDNAcn, respectively. The dose-response trend with statistical significance was observed across tertiles of DMA and TAs in the third trimester with mtDNAcn (DMA percent changes (%Δ) = 25.60 (95% CI 6.73, 47.82), for the highest vs the lowest tertile (P = 0.02); TAs %Δ = 40.31 (95% CI 19.25, 65.10), for the highest vs the lowest tertile (P = 0.0002)). These findings may prove the relationships between prenatal arsenic species levels and neonatal mitochondrial dysfunction.",Environmental science and pollution research international,2024
38787117,Association between Prenatal Dietary Toxicants and Infant Neurodevelopment: The Role of Fish.,"More research is needed to understand how the maternal consumption of fish and fish-borne toxicants impacts infant neurodevelopment. The present analysis was conducted over 460 mother-infant pairs within the ECLIPSES study. Dietary intake of metals and persistent organic pollutants from fish (including white fish, blue fish, and seafood) was estimated in pregnant women. The infants underwent cognitive, language, and motor function assessments using the Bayley Scales of Infant Development-III at the 40-day postpartum. Associations between dietary toxicants and outcomes were assessed using multivariable linear regression models. Estimated prenatal exposure to fish-borne toxicants, such as arsenic, inorganic arsenic, methylmercury, dioxin-like polychlorinated biphenyls (DL-PCBs), and non-DL-PCBs, was associated with poorer language functions in infants, whereas no significant associations were found with motor or cognitive functions. Maternal fish consumption exceeding the Spanish recommendation of no more than 71 g per day was linked to these adverse effects on language abilities without affecting motor or cognitive development. This highlights the importance of vigilant monitoring of environmental toxicants and the provision of dietary guidance for pregnant women, with potential implications for public health and child development.",Toxics,2024
38694196,Associations of Perinatal Metal and Metalloid Exposures with Early Child Behavioral Development Over Time in the New Hampshire Birth Cohort Study.,"Research on the neurodevelopmental effects of metal(loid)s has focused mainly on outcomes assessed at one time point, even though brain development progresses over time. We investigated biomarkers of perinatal exposure to metals and changes in child behavior over time. We followed 268 participants from the prospective New Hampshire Birth Cohort Study between birth and age 5 years. We measured arsenic (As), copper (Cu), manganese (Mn), lead (Pb), selenium (Se), and zinc (Zn) in toenails from 6-week-old infants. The Behavioral Symptoms Index (BSI), externalizing, and internalizing symptoms were assessed using the Behavior Assessment System for Children, 2nd edition (BASC-2) at ages 3 and 5 years. Multivariable linear regression was used to estimate associations of metals with behavior change, calculated as the difference in symptom raw scores between 3 and 5 years, in addition to the associations for symptom scores at 3 and 5 years separately. Sex-specific associations were also explored using stratified models and a sex-metal interaction term. Adjusted associations of metals and change in behavior varied by exposure and outcome. Each 1 μg/g increase in ln toenail Cu was associated with improved behavior between 3 and 5 years [BSI: <i>β</i> = - 3.88 (95%CI: - 7.12, - 0.64); Externalizing problems: <i>β</i> = - 2.20 (95%CI: - 4.07, - 0.33)]. Increasing Zn was associated with increased externalizing behavior over time (<i>β</i> = 3.42 (95%CI: 0.60, 6.25). Sex-stratified analyses suggested more pronounced associations among boys compared to girls. Perinatal exposure to metals may alter behavioral development between ages 3 and 5 years. Findings support the need for more research on associations between metals and neurodevelopment over longer time periods.",Exposure and health,2024
38676876,Chronic Exposure to Arsenic and Fluoride Starting at Gestation Alters Liver Mitochondrial Protein Expression and Induces Early Onset of Liver Fibrosis in Male Mouse Offspring.,"The presence of arsenic (As) and fluoride (F<sup>-</sup>) in drinking water is of concern due to the enormous number of individuals exposed to this condition worldwide. Studies in cultured cells and animal models have shown that As- or F-induced hepatotoxicity is primarily associated with redox disturbance and altered mitochondrial homeostasis. To explore the hepatotoxic effects of chronic combined exposure to As and F<sup>-</sup> in drinking water, pregnant CD-1 mice were exposed to 2 mg/L As (sodium arsenite) and/or 25 mg/L F<sup>-</sup> (sodium fluoride). The male offspring continued the exposure treatment up to 30 (P30) or 90 (P90) postnatal days. GSH levels, cysteine synthesis enzyme activities, and cysteine transporter levels were investigated in liver homogenates, as well as the expression of biomarkers of ferroptosis and mitochondrial biogenesis-related proteins. Serum transaminase levels and Hematoxylin-Eosin and Masson trichrome-stained liver tissue slices were examined. Combined exposure at P30 significantly reduced GSH levels and the mitochondrial transcription factor A (TFAM) expression while increasing lipid peroxidation, free Fe <sup>2+</sup>, p53 expression, and serum ALT activity. At P90, the upregulation of cysteine uptake and synthesis was associated with a recovery of GSH levels. Nevertheless, the downregulation of TFAM continued and was now associated with a downstream inhibition of the expression of MT-CO2 and reduced levels of mtDNA and fibrotic liver damage. Our experimental approach using human-relevant doses gives evidence of the increased risk for early liver damage associated with elevated levels of As and F<sup>-</sup> in the diet during intrauterine and postnatal period.",Biological trace element research,2025
38645676,Associations Between Prenatal Blood Metals and Vitamins and Cord Blood Peptide Hormone Concentrations.,"Nonessential metals have endocrine disrupting properties, interfere with cellular processes, generate reactive oxygen and deplete antioxidants, while essential metals and vitamins act as antioxidants. The extent to which prenatal metals and vitamins are associated with cord blood hormones involved in maternal and fetal metabolic and growth processes is unknown.",Global reproductive health,2023
38639583,Gestational diabetes mellitus enhances cobalt placental transfer efficiency between mother and infant.,"<b>Background:</b> The fetal stage is pivotal for growth and development, making it susceptible to the adverse effects of prenatal metal(loid)s exposure. This study evaluated the influence of gestational diabetes mellitus (GDM) on the placental transfer efficiency (PTE) of metal(loid)s and thus assessed the associated risks of prenatal metal(loid)s exposure. <b>Materials and method:</b> Designed as a case-control study, it incorporated 114 pregnant participants: 65 without complications and 49 diagnosed with GDM. We utilized inductively coupled plasma mass spectrometry to quantify seven metal(loid)s - manganese (Mn), cobalt (Co), nickel (Ni), copper (Cu), gallium (Ga), arsenic (As), and cadmium (Cd) - in both maternal venous blood and umbilical cord blood. <b>Result:</b> We compared metal(loid)s concentrations and their PTE in the maternal and cord blood between the two groups. Notably, Cu, Ga, As, and Co levels in the umbilical cord blood of the GDM group (657.9 ± 167.2 μg/L, 1.23 ± 0.34 μg/L, 5.19 ± 2.58 μg/L, 1.09 ± 2.03 μg/L) surpassed those of the control group, with PTE of Co showing a marked increase in GDM group (568.8 ± 150.4 μg/L, 1.05 ± 0.31 μg/L, 4.09 ± 2.54 μg/L, 0.47 ± 0.91 μg/L), with PTE of Co showing a marked increase in GDM group (<i>p</i> < 0.05). The PTE of Ni exhibited a reduction in the GDM group relative to the control group, yet this decrease did not reach statistical significance. <b>Conclusion:</b> This study indicates that GDM can influence the placental transfer efficiency of certain metal(loid)s, leading to higher concentrations of Co, Cu, Ga, and As in the umbilical cord blood of the GDM group. The marked increase in the PTE of Co suggests a potential link to placental abnormal angiogenesis due to GDM.","The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",2024
38581744,"Predictors of urinary heavy metal concentrations among pregnant women in Jinan, China.","Toxic heavy metal exposure and insufficiency or excess of essential heavy metals may have negative effects on pregnant women's health and fetal growth. To date, the predictors of pregnant women's heavy metal exposure levels remain unclear and vary with different regions. The study intended to explore potential predictors of exposure to heavy metals individually and high co-exposure to heavy metal mixtures.",Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2024
38519574,Activated fibroblasts modify keratinocyte stem niche through TET1 and IL-6 to promote their rapid transformation in a mouse model of prenatal arsenic exposure.,"Early life exposure to environmental pollutants such as arsenic (As) can increase the risk of cancers in the offspring. In an earlier study, we showed that only prenatal As exposure significantly increases epidermal stem cell proliferation and accelerates skin tumorigenesis in BALB/c mouse offspring. In the present work, we have examined the role of As-conditioned dermal fibroblasts (DFs) in creating pro-tumorigenic niches for Keratinocyte stem cells (KSCs) in the offspring. DFs isolated from prenatally exposed animals showed increased levels of activation markers (α-SMA, Fibronectin, Collagen IV), induction of ten-eleven translocation methylcytosine dioxygenase 1(TET1), and secreted high levels of niche modifying IL-6. This led to enhanced proliferation, migration, and survival of KSCs. Increased IL-6 production in As-conditioned fibroblast was driven through TET1 mediated 5-mC to 5-hmC conversion at -698/-526 and -856/-679 region on its promoter. IL-6 further acted through downstream activation of JAK2-STAT3 signaling, promoting epithelial-to-mesenchymal transition (EMT) in KSCs. Inhibition of pSTAT3 induced by IL-6 reduced the EMT process in KSCs resulting in a significant decrease in their proliferation, migration, and colony formation. Our results indicate that IL-6 produced by prenatally conditioned fibroblasts plays a major role in regulating the KSC niche and promoting skin tumor development in As-exposed offspring.",Scientific reports,2024
38455900,<i>In utero</i> arsenic exposure and early childhood motor development in the New Hampshire Birth Cohort Study.,"High-level prenatal and childhood arsenic (As) exposure characteristic of several regions in Asia (e.g., Bangladesh), may impact motor function. However, the relationship between lower-level arsenic exposure (characteristic of other regions) and motor development is largely unstudied, despite the potential for deficient motor skills in childhood to have adverse long-term consequences. Thus, we sought to investigate the association between prenatal As exposure and motor function among 395 children in the New Hampshire Birth Cohort Study, a rural cohort from northern New England.",Frontiers in epidemiology,2023
38412256,Associations of prenatal one-carbon metabolism nutrients and metals with epigenetic aging biomarkers at birth and in childhood in a US cohort.,"Epigenetic gestational age acceleration (EGAA) at birth and epigenetic age acceleration (EAA) in childhood may be biomarkers of the intrauterine environment. We investigated the extent to which first-trimester folate, B<sub>12</sub>, 5 essential, and 7 non-essential metals in maternal circulation are associated with EGAA and EAA in early life. Bohlin EGAA and Horvath pan-tissue and skin and blood EAA were calculated using DNA methylation measured in cord blood (N=351) and mid-childhood blood (N=326; median age = 7.7 years) in the Project Viva pre-birth cohort. A one standard deviation increase in individual essential metals (copper, manganese, and zinc) was associated with 0.94-1.2 weeks lower Horvath EAA at birth, and patterns of exposures identified by exploratory factor analysis suggested that a common source of essential metals was associated with Horvath EAA. We also observed evidence nonlinear associations of zinc with Bohlin EGAA, magnesium and lead with Horvath EAA, and cesium with skin and blood EAA at birth. Overall, associations at birth did not persist in mid-childhood; however, arsenic was associated with greater EAA at birth and in childhood. Prenatal metals, including essential metals and arsenic, are associated with epigenetic aging in early life, which might be associated with future health.",Aging,2024
38299738,Prenatal arsenic exposure alters keratinocyte stem cell fate through persistent activation of IGF2R-MAPK cascade leading to aggravated skin carcinogenesis in mice offspring.,"Chronic exposure to arsenic (As) promotes skin carcinogenesis in humans and potentially disturbs resident stem cell dynamics, particularly during maternal and early life exposure. In the present study, we demonstrate how only prenatal arsenic exposure disturbs keratinocyte stem cell (KSC) conditioning using a BALB/c mice model. Prenatal As exposure alters the normal stemness (CD34, KRT5), differentiation (Involucrin), and proliferation (PCNA) program in skin of offspring with progression of age as observed at 2, 10, and 18 weeks. Primary KSCs isolated from exposed animal at Day-2 showed increased survival (Bax:Bcl-xL, TUNEL assay), proliferation (BrdU), and differentiation (KRT5, Involucrin) potential through the activation of pro-carcinogenic IGF2R-MAPK cascade (IGF2R-G(α)q-MEK1-ERK1/2). This was associated with reduced enrichment of histone H3K27me3 and its methylase, EZH2 along with increased binding of demethylase, KDM6A at Igf2r promoter. Altered KSCs conditioning through disturbed Igf2r imprint contributed to impaired proliferation and differentiation and an aggravated tumor response in offspring.",Molecular carcinogenesis,2024
38281400,Placental cellular composition and umbilical cord tissue metal(loid) concentrations: A descriptive molecular epidemiology study leveraging DNA methylation.,"The placenta is a mixture of cell types, which may regulate maternal-fetal transfer of exogenous chemicals or become altered in response to exposures. We leveraged placental DNA methylation to characterize major constituent cell types and applied compositional data analysis to test associations with non-essential metal(loid)s measured in paired umbilical cord tissue (N = 158). Higher proportions of syncytiotrophoblasts were associated with lower arsenic, whereas higher proportions of Hofbauer cells were associated with higher cadmium concentrations in umbilical cords. These findings suggest that placental cellular composition influences amounts of metal(loid)s transferred to the fetus or that prenatal exposures alter the placental cellular makeup.",Placenta,2024
38266874,Prenatal arsenite exposure alters maternal cardiac remodeling during late pregnancy.,"Exposure to inorganic arsenic through drinking water is widespread and has been linked to many chronic diseases, including cardiovascular disease. Arsenic exposure has been shown to alter hypertrophic signaling in the adult heart, as well as in utero offspring development. However, the effect of arsenic on maternal cardiac remodeling during pregnancy has not been studied. As such, there is a need to understand how environmental exposure contributes to adverse pregnancy-related cardiovascular events. This study seeks to understand the impact of trivalent inorganic arsenic exposure during gestation on maternal cardiac remodeling in late pregnancy, as well as offspring outcomes. C57BL/6 J mice were exposed to 0 (control), 100 or 1000 μg/L sodium arsenite (NaAsO<sub>2</sub>) beginning at embryonic day (E) 2.5 and continuing through E17.5. Maternal heart function and size were assessed via transthoracic echocardiography, gravimetric measurement, and histology. Transcript levels of hypertrophic markers were probed via qRT-PCR and confirmed by western blot. Offspring outcomes were assessed through echocardiography and gravimetric measurement. We found that maternal heart size was smaller and transcript levels of Esr1 (estrogen receptor alpha), Pgrmc1 (progesterone receptor membrane component 1) and Pgrmc2 (progesterone receptor membrane component 2) reduced during late pregnancy with exposure to 1000 μg/L iAs vs. non-exposed pregnant controls. Both 100 and 1000 μg/L iAs also reduced transcription of Nppa (atrial natriuretic peptide). Akt protein expression was also significantly reduced after 1000 μg/L iAs exposure in the maternal heart with no change in activating phosphorylation. This significant abrogation of maternal cardiac hypertrophy suggests that arsenic exposure during pregnancy can potentially contribute to cardiovascular disease. Taken together, our findings further underscore the importance of reducing arsenic exposure during pregnancy and indicate that more research is needed to assess the impact of arsenic and other environmental exposures on the maternal heart and adverse pregnancy events.",Toxicology and applied pharmacology,2024
38109118,Preterm Birth and Metal Mixture Exposure among Pregnant Women from the Navajo Birth Cohort Study.,"Preterm birth (PTB), defined as birth before 37 wk gestation, is associated with hypertension, diabetes, inadequate prenatal care, unemployment or poverty, and metal exposure. Indigenous individuals are more likely to have maternal risk factors associated with PTB compared with other populations in the United States; however, the role of environmental metals on PTB among pregnant Indigenous women remains uncertain. Previous research identified associations between PTB and individual metals, but there is limited investigation on metal mixtures and this birth outcome.",Environmental health perspectives,2023
38087268,"Prenatal arsenic and mercury levels among women practicing geophagy in areas with artisanal and small-scale gold mining activities, Northwestern Tanzania.","Artisanal and small-scale gold mining (ASGM) areas potentially pose increased exposure to arsenic and mercury through community contamination, occupations at gold mines, and/or geophagy when soil is locally sourced. This study examined the effects of geophagy, a deliberate soil eating practice, along with community and occupational exposures in ASGM areas on urinary arsenic and blood mercury levels among pregnant women in the Mining and Health Longitudinal Cohort in northwestern Tanzania.",BMC pregnancy and childbirth,2023
38074282,Periconceptional and Prenatal Exposure to Metals and Extracellular Vesicle and Particle miRNAs in Human Milk: A Pilot Study.,"Human milk is a rich source of microRNAs (miRNAs), which can be transported by extracellular vesicles and particles (EVPs) and are hypothesized to contribute to maternal-offspring communication and child development. Environmental contaminant impacts on EVP miRNAs in human milk are largely unknown. In a pilot study of 54 mother-child pairs from the New Hampshire Birth Cohort Study, we examined relationships between five metals (arsenic, lead, manganese, mercury, and selenium) measured in maternal toenail clippings, reflecting exposures during the periconceptional and prenatal periods, and EVP miRNA levels in human milk. 798 miRNAs were profiled using the NanoString nCounter platform; 200 miRNAs were widely detectable and retained for downstream analyses. Metal-miRNA associations were evaluated using covariate-adjusted robust linear regression models. Arsenic exposure during the periconceptional and prenatal periods was associated with lower total miRNA content in human milk EVPs (<i>P</i><sub>Bonferroni</sub> < 0.05). When evaluating miRNAs individually, 13 miRNAs were inversely associated with arsenic exposure, two in the periconceptional period and 11 in the prenatal period (<i>P</i><sub>Bonferroni</sub> < 0.05). Other metal-miRNA associations were not statistically significant after multiple testing correction (<i>P</i><sub>Bonferroni</sub> ≥ 0.05). Many of the arsenic-associated miRNAs are involved in lactation and have anti-inflammatory properties in the intestine and tumor suppressive functions in breast cells. Our findings raise the possibility that periconceptional and prenatal arsenic exposure may reduce levels of multiple miRNAs in human milk EVPs. However, larger confirmatory studies, which can apply environmental mixture approaches, evaluate potential effect modifiers of these relationships, and examine possible downstream consequences for maternal and child health and breastfeeding outcomes, are needed.",Exposure and health,2023
38048101,Linking Prenatal Environmental Exposures to Lifetime Health with Epigenome-Wide Association Studies: State-of-the-Science Review and Future Recommendations.,"The prenatal environment influences lifetime health; epigenetic mechanisms likely predominate. In 2016, the first international consortium paper on cigarette smoking during pregnancy and offspring DNA methylation identified extensive, reproducible exposure signals. This finding raised expectations for epigenome-wide association studies (EWAS) of other exposures.",Environmental health perspectives,2023
38023386,Prenatal Exposure to Heavy Metals and Adverse Birth Outcomes: Evidence From an E-Waste Area in China.,"Electronic waste that has not been properly treated can lead to environmental contamination including of heavy metals, which can pose risks to human health. Infants, a sensitive group, are highly susceptible to heavy metals exposure. The aim of this study was to investigate the association between prenatal heavy metal exposure and infant birth outcomes in an e-waste recycling area in China. We analyzed cadmium (Cd), chromium (Cr), manganese (Mn), lead (Pb), copper (Cu), and arsenic (As) concentrations in 102 human milk samples collected 4 weeks after delivery. The results showed that 34.3% of participants for Cr, which exceeds the World Health Organization (WHO) guidelines, as well as the mean exposure of Cr exceeded the WHO guidelines. We collected data on the birth weight (BW) and length of infants and analyzed the association between metal concentration in human milk and birth outcomes using multivariable linear regression. We observed a significant negative association between the Cd concentration in maternal milk and BW in female infants (<i>β</i> = -162.72, 95% CI = -303.16, -22.25). In contrast, heavy metals did not associate with birth outcomes in male infants. In this study, we found that 34.3% of participants in an e-waste recycling area had a Cr concentration that exceeded WHO guidelines, and there was a significant negative association between prenatal exposure to the Cd and infant BW in females. These results suggest that prenatal exposure to heavy metals in e-waste recycling areas may lead to adverse birth outcomes, especially for female infants.",GeoHealth,2023
37981721,Integrating Data Across Multiple Sites in the Northeastern United States to Examine Associations Between a Prenatal Metal Mixture and Child Cognition.,"We applied a novel hierarchical Bayesian weighted quantile sum (HBWQS) regression to combine data across 3 study sites to examine associations between prenatal exposure to metals and cognitive functioning in childhood. Data from 326 mother-child dyads enrolled in an ongoing cohort study, the Programming of Intergenerational Stress Mechanisms (PRISM) Study, based in New York, New York (recruitment in 2013-2020) and Boston, Massachusetts (recruitment 2011-2013), and the First Thousand Days of Life (FTDL) cohort study (recruitment 2012-2019), based in northern Virginia, were used. Arsenic, cadmium, manganese, lead, and antimony were measured in urine collected during pregnancy. Cognitive functioning was assessed in children aged 3-11 years using the National Institutes of Health Toolbox Cognition Battery. The HBWQS regression showed a negative association between the urinary metal mixture and the Cognition Early Childhood Composite Score in the PRISM New York City (β = -3.67, 95% credible interval (CrI): -7.61, -0.01) and FTDL (β = -3.76, 95% CrI: -7.66, -0.24) samples, with a similar trend in the PRISM Boston sample (β = -3.24, 95% CrI: -6.77, 0.144). We did not detect these associations in traditionally pooled models. HBWQS regression allowed us to account for site heterogeneity and detect associations between prenatal metal-mixture exposure and cognitive outcomes in childhood. Given the ubiquity of metals exposure, interventions aimed at reducing prenatal exposure may improve cognitive outcomes in children. This article is part of a Special Collection on Environmental Epidemiology.",American journal of epidemiology,2024
37963536,Exposure to metal mixtures and adverse pregnancy and birth outcomes: A systematic review.,"Prenatal exposure to metal mixtures is associated with adverse pregnancy and birth outcomes like low birth weight, preterm birth, and small for gestational age. However, prior studies have used individual metal analysis, lacking real-life exposure scenarios.",The Science of the total environment,2024
37961501,Altered cord blood mitochondrial DNA content and prenatal exposure to arsenic metabolites in low-arsenic areas.,"While mitochondria are susceptible to environmental detriments, little is known about potential associations between arsenic metabolites and mitochondria DNA copy number (mtDNAcn). We attempted to examine whether arsenic metabolism in different trimesters was related to cord blood mtDNAcn alteration. We included 819 mother-newborn pairs embedded in an in-progress birth cohort survey performed from April 2014 to October 2016 in Wuhan, China. We determined maternal urinary arsenic species concentrations in different trimesters using HPLC-ICPMS. We decided on cord blood mtDNAcn using quantitative real-time polymerase chain reaction. In covariate-adjusted models, each two-fold increment of dimethylated arsenic (DMA) and total arsenic (TAs) in the 3rd trimester were related to 8.43% (95% CI: 1.13%, 16.26%) and 12.15% (95% CI:4.35%, 20.53%) increases in mtDNAcn, respectively. The dose-response trend with statistical significance was observed across tertiles of DMA and TAs in the 3rd trimester with mtDNAcn. These findings may prove the relationships between arsenic species and mitochondrial dysfunction.",Research square,2023
37925797,Sex-specific associations of maternal and childhood urinary arsenic levels with emotional problems among 6-year-age children: Evidence from a longitudinal cohort study in China.,"Arsenic exposure has been linked to neurobehavior development disorders among children in cross-sectional studies, but there is little information on the effects of prenatal and childhood arsenic exposure on childhood behavior problem, especially emotional problems.",Ecotoxicology and environmental safety,2023
37845729,Toxic metal mixtures in private well water and increased risk for preterm birth in North Carolina.,"Prenatal exposure to metals in private well water may increase the risk of preterm birth (PTB) (delivery < 37 weeks' gestation). In this study, we estimated associations between arsenic, manganese, lead, cadmium, chromium, copper, and zinc concentrations in private well water and PTB incidence in North Carolina (NC).",Environmental health : a global access science source,2023
37840722,Analysis of gut bacteriome of <i>in utero</i> arsenic-exposed mice using 16S rRNA-based metagenomic approach.,Approximately 200 million people worldwide are affected by arsenic toxicity emanating from the consumption of drinking water containing inorganic arsenic above the prescribed maximum contaminant level. The current investigation deals with the role of prenatal arsenic exposure in modulating the gut microbial community and functional pathways of the host.,Frontiers in microbiology,2023
37834424,Prenatal Metal Exposure Alters the Placental Proteome in a Sex-Dependent Manner in Extremely Low Gestational Age Newborns: Links to Gestational Age.,"Prenatal exposure to toxic metals is associated with altered placental function and adverse infant and child health outcomes. Adverse outcomes include those that are observed at the time of birth, such as low birthweight, as well as those that arise later in life, such as neurological impairment. It is often the case that these adverse outcomes show sex-specific responses in relation to toxicant exposures. While the precise molecular mechanisms linking in utero toxic metal exposures with later-in-life health are unknown, placental inflammation is posited to play a critical role. Here, we sought to understand whether in utero metal exposure is associated with alterations in the expression of the placental proteome by identifying metal associated proteins (MAPs). Within the Extremely Low Gestational Age Newborns (ELGAN) cohort (<i>n</i> = 230), placental and umbilical cord tissue samples were collected at birth. Arsenic (As), cadmium (Cd), lead (Pb), selenium (Se), and manganese (Mn) concentrations were measured in umbilical cord tissue samples via ICP-MS/MS. Protein expression was examined in placental samples using an LC-MS/MS-based, global, untargeted proteomics analysis measuring more than 3400 proteins. MAPs were then evaluated for associations with pregnancy and neonatal outcomes, including placental weight and gestational age. We hypothesized that metal levels would be positively associated with the altered expression of inflammation/immune-associated pathways and that sex-specific patterns of metal-associated placental protein expression would be observed. Sex-specific analyses identified 89 unique MAPs expressed in female placentas and 41 unique MAPs expressed in male placentas. Notably, many of the female-associated MAPs are known to be involved in immune-related processes, while the male-associated MAPs are associated with intracellular transport and cell localization. Further, several MAPs were significantly associated with gestational age in males and females and placental weight in males. These data highlight the linkage between prenatal metal exposure and an altered placental proteome, with implications for altering the trajectory of fetal development.",International journal of molecular sciences,2023
37808684,Prenatal Arsenite Exposure Alters Maternal Cardiac Remodeling During Late Pregnancy.,"Exposure to inorganic arsenic through drinking water is widespread and has been linked to many chronic diseases, including cardiovascular disease. Arsenic exposure has been shown to alter hypertrophic signaling in the adult heart, as well as in-utero offspring development. However, the effect of arsenic on maternal cardiac remodeling during pregnancy has not been studied. As such, there is a need to understand how environmental exposure contributes to adverse pregnancy-related cardiovascular events. This study seeks to understand the impact of trivalent inorganic arsenic exposure during gestation on maternal cardiac remodeling in late pregnancy, as well as offspring outcomes. C57BL/6J mice were exposed to 0 (control), 100 or 1000 µg/L sodium arsenite (NaAsO <sub>2</sub> ) beginning at embryonic day (E) 2.5 and continuing through E17.5. Maternal heart function and size were assessed via transthoracic echocardiography, gravimetric measurement, and histology. Transcript levels of hypertrophic markers were probed via qRT-PCR and confirmed by western blot. Offspring outcomes were assessed through echocardiography and gravimetric measurement. We found that exposure to 1000 µg/L iAs abrogated normal physiologic growth of the maternal heart during late pregnancy and reduced transcript levels of estrogen receptor alpha (ERα), progesterone receptor membrane component 1 (Pgrmc1) and progesterone receptor membrane component 2 (Pgrmc2). Both 100 and 1000 µg/L iAs also reduced transcription of protein kinase B (Akt) and atrial natriuretic peptide (ANP). Akt protein expression was also significantly reduced after 1000 µg/L iAs exposure in the maternal heart with no change in activating phosphorylation. This significant abrogation of maternal cardiac hypertrophy suggests that arsenic exposure during pregnancy can potentially contribute to cardiovascular disease. Taken together, our findings further underscore the importance of reducing arsenic exposure during pregnancy and indicate that more research is needed to assess the impact of arsenic and other environmental exposures on the maternal heart and adverse pregnancy events.",bioRxiv : the preprint server for biology,2023
37787746,Genetic Susceptibility to Neurotoxicity Related to Prenatal Inorganic Arsenic Exposure in Young Spanish Children.,"We explored the influence of child and maternal single nucleotide polymorphisms (SNPs) in genes related to neurological function and arsenic metabolism (i.e., <i>ABCA1</i>, <i>ABCB1</i>, <i>PON1</i>, <i>CYP3A</i>, <i>BDNF</i>, <i>GSTP1</i>, <i>MT2A</i>, and <i>APOE</i> as well as <i>AS3MT</i>) on the association between prenatal arsenic (As) exposure and methylation efficiency and neuropsychological development in 4-5-year-old children. Participants were 549 mother-child pairs from the INMA (Environment and Childhood) Spanish Project. We measured inorganic arsenic (iAs) and the metabolites monomethylarsonic acid (MMA) and dimethylarsinic acid (DMA) in urine samples collected during pregnancy. Neuropsychological development was assessed at the age of 4-5 years using the McCarthy Scales of Children's Abilities (MSCA). Several SNPs were determined in maternal and child DNA; <i>AS3MT</i> and <i>APOE</i> haplotypes were inferred. The median ∑As (sum of iAs, DMA, and MMA) was 7.08 μg/g creatinine. Statistically significant interactions for children's <i>APOE</i> haplotype were observed. Specifically, ε4-carrier children had consistently lower MSCA scores in several scales with increasing ∑As and MMA concentrations. These results provide evidence regarding the neurotoxic effects of early life exposure to As, observing that the <i>APOE</i> ε4 allele could make children more vulnerable to this exposure.",Environmental science & technology,2023
37747404,"<i>In Utero</i> Exposure to Metals and Birth Outcomes in an Artisanal and Small-Scale Gold Mining Birth Cohort in Madre de Dios, Peru.","Few birth cohorts in South America evaluate the joint effect of minerals and toxic metals on neonatal health. In Madre de Dios, Peru, mercury exposure is prevalent owing to artisanal gold mining, yet its effect on neonatal health is unknown.",Environmental health perspectives,2023
37740142,Analysis of Prospective Genetic Indicators for Prenatal Exposure to Arsenic in Newborn Cord Blood of Using Machine Learning.,"Using a machine learning methods, we aim to find biological effect biomarkers of prenatal arsenic exposure in newborn cord blood. From the Gene Expression Omnibus (GEO) database, two datasets (GSE48354 and GSE7967) pertaining to cord blood sequencing while exposed to arsenic were retrieved and merged for additional study. Using the ""limma"" package in the R, differentially expressed genes (DEGs) were eliminated. Machine learning techniques of the LASSO regression algorithm and SVM-RFE algorithm were used to find potential biological effect biomarkers for cord blood sequencing in pregnant women exposed to arsenic. To evaluate the efficacy of biomarkers, a receiver operating characteristic (ROC) curve was used. Furthermore, we investigated the proportion of invading immune cells in each sample using CIBERSORT, and we investigated the relationship between biomarkers and immune cells using the Spearman approach. Using LASSO regression and the SVM-RFE technique, 28 DEGs were discovered, and the main biomarkers of cord blood exposed to arsenic were discovered to be DENND2D, OLIG1, RGS18, CXCL16, DDIT4, FOS, G0S2, GPR183, JMJD6, and SOCS3. According to an immune infiltration analysis and correlation analysis, key biomarkers were substantially associated with the invading immune cells. Ten genes are important biomarkers of cord blood exposed to arsenic connected with infiltrating immune cells, and infiltrating immune cells may play important roles in cord blood exposed to arsenic, according to the study's findings.",Biological trace element research,2024
